age,occupation_risk,zone_risk,health_score,income,claim_history,premium
35,4,4,61.1,27349.98,2,978.16
64,4,3,83.2,27612.77,2,984.44
41,5,2,57.4,20893.5,0,775.31
43,1,5,57.3,31269.85,0,877.21
42,2,5,78.1,13815.22,1,879.61
62,1,3,81.0,23044.8,1,792.47
58,2,4,63.7,29446.87,2,980.82
46,2,3,75.3,22699.33,2,752.27
32,3,3,48.8,23345.96,2,860.21
62,2,2,85.7,23897.71,1,730.18
18,1,3,97.2,18315.19,0,570.82
42,2,3,72.8,34391.21,0,705.64
24,1,1,33.7,16855.7,4,651.59
26,5,3,56.6,27545.27,0,885.83
41,4,4,74.2,28309.18,2,946.66
18,5,4,58.7,17411.02,0,961.06
61,3,3,84.1,25584.83,1,870.96
25,2,5,73.8,17722.94,0,869.32
41,4,1,54.4,36128.34,1,696.01
28,2,3,65.5,15889.74,4,806.39
34,2,4,51.6,19768.82,0,829.37
25,2,3,62.3,15206.2,1,726.58
52,1,3,56.7,14138.41,2,781.22
52,2,2,82.6,37729.72,1,675.14
50,2,4,96.7,29342.2,2,836.23
22,3,3,43.5,26122.35,3,905.97
59,1,4,36.2,19747.38,1,959.79
56,2,3,61.3,32260.89,1,850.9
58,4,4,42.2,18406.22,1,1085.1
45,1,4,65.7,31349.11,0,761.3
24,2,4,76.2,18019.91,3,857.63
26,4,3,87.4,19843.94,1,781.07
25,2,3,68.0,31066.26,3,804.11
29,1,4,62.1,31910.62,1,804.31
51,3,3,35.3,29779.78,1,927.61
50,2,3,65.4,16602.61,0,734.22
40,3,1,66.1,21426.19,1,589.7
41,4,5,74.6,26255.19,4,1098.36
54,1,1,54.4,18205.75,2,622.92
52,3,3,58.5,35967.7,3,935.94
61,3,3,42.8,8000.0,1,953.19
57,1,3,30.6,18770.08,0,828.26
39,3,4,48.4,20923.47,2,950.09
44,2,1,41.4,8000.0,1,583.91
52,3,3,70.1,13830.17,2,843.97
18,1,4,57.2,30002.32,1,810.07
52,3,4,56.9,25242.27,2,993.94
54,2,2,50.2,37585.09,2,807.12
64,4,4,16.5,37361.81,0,1190.42
31,1,4,87.6,28464.37,0,704.18
20,3,4,50.0,27505.91,2,955.93
18,3,3,58.8,25527.45,2,836.58
22,4,3,43.2,8000.0,2,898.11
43,3,5,79.6,13843.52,3,982.95
31,3,4,67.2,25805.4,2,915.46
56,4,3,52.6,29928.21,1,969.86
44,4,2,59.1,27317.36,2,792.87
26,2,3,90.2,17860.28,2,694.89
32,3,3,63.9,32499.25,1,802.16
32,4,2,62.3,36859.55,3,821.85
43,5,2,50.9,32503.92,0,812.62
59,4,4,36.6,32916.79,3,1192.26
30,2,1,62.6,20526.19,1,549.7
49,2,4,69.9,33607.47,1,867.45
56,3,2,81.5,26166.07,1,743.91
49,4,3,31.3,29092.44,1,959.9
21,3,1,48.1,27923.45,0,615.08
47,3,2,56.3,24028.1,1,730.82
54,4,4,64.9,18119.98,1,998.9
40,2,4,62.8,24342.91,4,933.59
56,4,2,63.2,32894.09,0,818.72
62,3,3,71.1,21468.19,2,932.26
32,2,3,51.5,32146.78,0,754.7
60,3,4,79.0,30896.57,3,1044.85
46,4,4,71.5,22608.5,1,920.28
53,1,3,60.2,36110.4,3,845.32
30,2,4,89.0,22155.63,0,744.71
49,5,4,88.3,37076.37,2,1005.67
24,2,1,79.0,28473.02,2,548.12
39,3,3,19.7,24873.07,2,934.73
45,3,5,88.7,17897.59,4,1001.2
19,3,4,76.9,24293.92,2,886.22
59,3,3,95.1,23369.92,0,800.54
62,2,3,83.6,14933.63,2,845.0
23,3,3,88.7,23259.08,1,724.62
45,2,3,78.2,18569.57,1,697.6
45,3,4,85.2,29687.93,3,902.18
61,1,3,94.9,35450.24,3,822.7
61,3,4,68.2,15184.67,1,989.57
37,2,4,41.4,38698.46,2,943.28
47,2,2,60.4,23971.59,1,666.87
28,2,3,70.8,17199.83,3,775.32
45,2,3,66.1,31062.04,1,756.33
42,4,4,46.3,21428.36,1,975.72
56,2,2,40.5,24346.11,2,824.54
50,5,3,53.9,21765.77,2,981.3
18,5,4,77.1,18466.1,1,941.07
44,3,3,88.7,30791.98,2,770.73
30,1,5,78.7,22709.59,0,812.28
58,2,5,80.9,13506.79,1,969.95
20,4,2,63.8,29408.48,3,819.47
56,2,2,38.9,15355.34,3,845.11
23,1,5,58.2,15773.92,1,883.45
25,3,5,61.1,34540.85,1,1002.75
44,4,1,57.5,15429.28,1,655.5
26,4,1,65.8,8000.0,2,653.8
54,2,2,71.6,29982.89,2,739.13
50,3,5,77.8,22569.09,3,1047.57
59,2,2,60.8,23258.76,1,768.7
61,2,3,36.4,22484.0,1,941.63
41,4,4,57.8,26853.36,2,983.38
32,2,1,65.7,18978.25,0,507.61
49,2,3,83.3,36808.92,1,744.94
49,1,2,56.5,13190.16,5,748.24
41,4,4,72.7,28559.0,1,919.26
58,4,2,69.4,30136.97,4,937.25
29,3,4,65.7,18922.79,1,876.94
56,4,4,79.0,16810.12,2,1009.65
19,2,2,55.1,33137.39,2,711.41
20,3,1,56.4,17073.11,2,641.07
54,2,3,64.8,20146.69,3,865.89
34,1,2,55.4,32098.47,1,629.71
19,3,4,72.6,25277.93,2,893.92
19,5,4,54.3,10622.85,3,1047.35
45,1,3,68.4,38976.47,0,674.48
40,2,3,63.5,20759.91,0,704.9
54,2,3,68.2,21777.94,0,763.78
49,2,4,58.1,27046.27,3,947.21
50,5,3,59.9,30000.61,1,954.58
18,3,2,66.4,40688.83,2,736.55
36,3,2,68.0,11719.45,1,666.64
19,4,3,64.9,31607.62,4,942.09
61,2,3,90.6,30944.08,2,837.49
43,3,3,50.1,23902.68,0,794.87
49,3,1,64.0,31298.19,1,640.44
23,3,4,41.4,32474.19,0,922.2
49,5,2,70.6,13944.3,0,765.26
21,4,2,48.3,38998.13,0,774.45
28,2,3,60.8,12529.9,0,698.11
34,4,2,59.4,15917.47,0,715.15
55,2,3,69.2,22905.7,1,813.01
41,1,3,56.7,40399.52,0,706.1
22,2,3,56.1,22533.95,1,761.66
51,2,3,86.5,24744.53,0,706.16
23,3,2,69.3,36456.63,1,699.42
39,3,2,56.6,22597.45,1,713.37
28,5,4,61.2,15572.51,3,1043.56
33,3,3,89.7,21662.12,1,725.78
50,3,3,61.5,35966.33,1,855.85
26,1,1,54.7,25566.92,1,528.26
23,1,3,54.7,40445.27,3,806.24
33,3,3,56.8,30903.48,1,821.97
46,3,3,56.1,19841.53,2,841.61
20,4,4,45.8,25408.61,3,1043.38
37,2,2,48.1,18174.26,3,733.76
53,1,2,52.6,19652.54,3,749.12
36,3,4,73.9,60000.0,1,920.13
43,2,5,59.3,33149.0,2,986.77
20,1,2,61.9,31888.78,3,679.64
36,4,3,84.1,20014.56,0,756.79
37,1,2,84.4,37556.67,2,593.98
49,3,1,60.8,33795.32,1,658.49
24,2,3,55.5,40052.97,2,817.43
58,2,2,52.0,39664.91,2,835.93
50,2,4,75.4,13167.29,3,887.16
57,4,3,61.9,16121.28,0,897.93
56,2,2,59.2,16969.7,0,709.91
35,4,1,52.8,17448.47,1,674.26
57,1,4,53.5,27587.62,1,917.99
18,4,2,69.8,20465.57,3,792.85
28,2,3,45.3,41580.79,3,875.93
45,3,3,79.9,40237.44,2,807.07
42,3,3,57.0,24948.31,1,807.2
40,5,3,62.8,40642.61,1,917.33
48,2,1,44.9,36905.08,1,636.03
47,1,2,64.8,21394.35,0,575.09
59,1,2,60.1,8926.28,1,689.03
52,4,3,64.2,23256.25,1,898.51
24,3,4,87.1,19843.02,1,823.24
33,4,2,67.7,26652.05,1,734.74
43,2,1,53.1,25713.83,0,550.3
19,2,3,54.3,25504.14,1,773.33
18,1,3,73.9,29189.48,6,823.59
29,5,5,84.5,15299.82,1,1013.75
22,3,3,69.2,28290.88,2,809.01
54,5,3,75.3,21483.07,1,925.63
49,2,3,74.1,26599.86,1,753.14
26,3,5,86.3,32659.28,1,936.97
58,3,4,35.8,15204.8,1,1046.36
52,2,3,75.0,22749.65,1,766.31
36,4,2,79.8,24051.73,1,706.27
33,5,2,44.9,20885.85,1,835.35
20,4,3,51.7,32198.64,0,854.96
37,4,4,52.2,19236.89,0,923.99
41,2,3,54.1,20556.8,1,758.4
50,2,1,57.8,19320.65,3,662.58
41,5,4,68.6,33736.44,2,1020.14
28,1,4,78.0,21060.45,3,808.68
25,4,2,81.2,28680.36,0,686.42
53,4,4,52.4,40805.64,1,1053.95
55,3,3,52.3,24401.45,1,900.84
57,5,4,84.7,33896.49,3,1104.21
37,2,4,74.7,38370.83,1,829.47
52,2,3,66.2,33217.53,2,832.19
42,1,4,72.1,24865.59,2,797.3
52,3,4,64.6,30136.86,1,950.89
42,2,3,72.9,14700.97,2,736.11
46,2,3,60.0,18759.65,0,721.44
35,4,4,69.0,20162.6,3,980.44
63,5,2,42.3,42924.9,2,1052.62
35,2,3,54.7,18499.32,0,724.81
19,2,4,54.8,18380.19,2,877.68
52,5,4,59.4,16648.63,3,1097.87
33,1,3,51.1,29478.49,1,735.84
58,1,2,57.0,26140.97,1,718.62
53,2,3,42.3,33694.07,0,841.05
50,3,2,73.2,30370.08,2,751.23
21,2,2,63.8,13956.88,2,660.69
50,5,4,39.4,18541.78,2,1114.17
31,3,2,52.5,35922.63,1,741.71
38,3,3,70.0,23373.61,0,752.84
37,2,3,56.9,34500.73,0,744.81
25,3,5,54.5,23802.55,2,1040.51
24,3,3,63.9,17258.75,1,783.87
20,4,1,70.2,22573.91,1,634.56
34,4,1,43.5,17255.6,1,696.98
50,3,3,73.3,20475.58,1,805.95
29,5,3,53.0,26607.41,5,1044.33
39,4,3,64.7,29092.84,3,913.76
39,4,3,64.5,12278.47,3,880.75
63,1,1,57.1,24861.06,1,660.57
47,1,3,49.6,20307.07,1,735.32
55,2,3,60.7,19812.68,1,828.19
55,3,2,89.4,26061.48,1,719.99
62,3,2,44.6,20596.39,1,873.88
25,3,2,90.4,36057.1,1,641.06
44,4,2,61.1,34504.5,0,738.38
44,4,3,65.5,34454.63,3,909.82
51,5,2,48.7,21040.72,1,876.33
38,2,2,53.4,17300.01,1,659.21
47,3,2,57.5,25656.24,1,726.01
50,2,5,49.3,23797.21,0,983.06
45,2,4,61.9,20129.41,1,833.48
64,2,2,58.9,15594.12,0,772.39
50,2,3,92.8,24667.86,0,679.43
22,3,2,47.5,21767.44,0,700.48
36,4,3,66.5,30506.78,2,875.94
21,1,1,68.7,30320.85,1,497.51
52,4,4,48.9,33806.4,2,1073.73
34,3,3,75.3,14925.64,2,779.57
61,2,4,59.0,28208.47,0,950.31
45,3,2,27.6,19180.27,1,774.87
47,2,4,74.9,15236.69,0,781.46
46,3,4,48.2,21571.18,2,962.63
63,3,2,49.3,33549.64,2,918.41
23,2,3,75.3,22021.45,3,770.2
52,1,2,59.8,37523.64,3,747.32
58,3,2,78.8,29391.03,0,740.9
54,5,2,83.2,21847.28,1,817.15
41,2,3,55.3,34280.39,1,778.27
46,4,3,76.9,28563.17,2,851.55
63,3,5,53.7,17539.52,3,1198.16
48,5,2,98.5,39870.42,3,814.6
52,4,5,54.6,27075.83,2,1146.2
50,3,2,80.4,25150.37,0,669.02
38,3,4,77.7,18155.74,1,845.51
49,4,3,69.7,34436.31,2,903.17
40,2,2,54.9,29138.2,0,649.63
50,2,4,62.7,30033.91,4,979.15
20,1,3,32.7,20939.75,1,764.88
35,4,4,68.4,31672.8,2,956.58
42,4,3,70.2,32294.51,2,865.38
59,1,3,67.0,19649.77,3,844.41
48,3,3,20.4,13664.08,1,910.38
20,3,4,46.0,29650.98,2,969.72
57,1,1,53.8,12413.22,3,661.96
63,5,4,69.4,26216.13,2,1150.8
41,2,4,69.3,21422.04,1,814.51
49,1,1,62.4,34749.32,0,519.88
64,3,2,74.5,21857.25,2,846.33
39,4,4,49.6,33858.18,0,958.39
40,1,3,74.2,20886.32,3,725.14
19,3,3,72.1,32999.93,0,752.44
44,3,2,70.7,41482.73,3,769.53
59,1,3,62.3,16455.62,0,766.15
19,2,2,92.5,27336.29,1,580.56
43,3,3,72.4,46990.26,1,804.3
34,2,4,50.5,25532.71,0,841.52
57,5,2,68.7,25494.31,1,883.75
50,4,3,76.3,31307.99,1,863.46
26,5,5,56.2,25328.65,2,1129.89
60,2,4,81.3,11342.19,1,893.1
56,5,4,70.7,34058.3,2,1107.27
46,3,3,29.9,8976.41,2,892.34
59,2,4,69.5,21665.67,2,961.62
43,1,1,58.9,34659.41,2,563.22
52,1,2,73.1,22147.66,3,685.07
42,3,2,79.2,19450.43,1,651.17
41,3,3,67.9,32034.11,0,765.68
30,2,4,90.0,18191.08,1,766.06
24,3,3,62.3,15222.19,0,744.94
53,2,4,74.4,27196.11,2,906.65
62,3,4,77.1,23536.61,3,1045.62
37,2,3,63.5,15050.62,2,758.35
18,4,3,76.7,30095.62,2,845.67
25,4,3,56.1,28715.9,1,869.87
63,3,3,58.7,22121.96,3,1006.05
33,2,1,45.3,22669.34,6,748.39
31,2,5,68.6,28763.14,5,1049.45
29,4,2,69.9,34522.89,1,749.12
40,2,1,82.7,22737.65,2,531.38
32,2,4,76.9,30237.51,2,843.5
45,1,3,60.7,29521.6,5,826.08
51,3,4,47.3,32034.46,0,953.64
19,3,3,71.5,25314.47,3,837.1
49,4,3,81.7,17701.4,1,819.15
40,2,2,76.3,21300.01,0,576.62
39,2,3,81.3,27742.83,1,705.06
42,4,3,61.8,39547.72,3,929.1
39,4,4,58.0,21127.84,3,1000.51
39,2,3,53.9,31438.3,0,743.17
59,3,5,64.2,22375.55,2,1118.06
23,2,1,63.8,25883.75,3,614.9
32,5,3,68.1,37123.17,2,932.8
60,1,3,63.1,31114.34,1,826.28
54,5,5,63.0,15069.61,3,1203.92
50,3,1,53.3,20420.2,2,692.15
25,3,3,79.1,35049.77,0,744.93
61,1,4,66.1,26135.02,4,1003.93
61,3,2,62.4,15809.28,0,786.42
22,3,4,53.8,18448.38,3,964.9
56,2,1,45.0,30627.95,1,695.19
21,3,4,84.6,32955.28,1,847.71
23,5,5,73.3,25142.84,3,1113.17
62,3,4,40.6,44802.51,2,1140.44
49,4,3,76.4,31593.22,2,888.55
47,1,1,78.8,23052.15,0,448.93
64,3,5,66.9,18474.35,2,1147.87
52,1,3,89.0,17200.93,0,647.37
57,3,1,68.3,27683.37,2,722.97
33,5,4,43.7,21089.78,2,1059.91
30,3,3,70.5,38389.95,2,826.46
59,1,2,68.7,36730.49,0,682.01
47,2,2,56.0,30064.53,2,721.77
36,3,1,73.6,15568.03,2,591.83
34,3,3,40.0,19622.25,2,877.26
36,4,3,79.9,35045.42,2,846.39
45,4,3,51.8,20495.47,0,833.7
43,3,4,50.2,33977.13,0,905.06
54,2,4,63.3,28796.83,1,918.06
43,2,3,71.5,25413.74,2,750.76
40,1,1,67.5,19377.34,1,483.86
26,2,4,53.9,24246.05,0,832.03
29,3,3,57.4,26517.18,1,815.27
18,3,3,48.0,33260.31,2,867.29
18,3,3,61.6,17914.12,1,789.64
64,1,3,81.1,22897.47,1,797.38
51,2,5,64.9,25358.59,1,977.21
49,2,2,77.9,30301.43,2,680.68
42,2,4,86.8,17732.29,2,798.43
57,4,1,56.2,14467.44,1,754.11
62,1,5,62.2,30391.72,1,1029.47
18,3,2,97.6,12856.41,1,600.34
33,2,1,86.7,35279.84,0,483.13
56,4,3,39.9,23752.59,1,989.44
22,3,3,70.8,12619.75,1,756.41
39,2,2,65.0,21156.64,2,672.78
46,3,3,77.4,28032.99,0,745.57
20,4,3,53.8,20738.39,2,888.06
29,5,1,52.4,25160.24,0,699.62
43,2,3,54.9,30920.63,0,746.14
33,4,4,56.4,23382.48,2,986.83
54,5,4,77.2,17503.54,1,1014.28
39,5,4,47.3,22608.13,1,1023.48
46,3,4,55.7,36318.72,1,933.56
31,3,3,38.2,38480.51,3,941.74
45,3,1,80.1,8840.59,0,508.12
22,4,2,84.1,33728.22,1,706.64
64,3,4,60.1,27001.18,2,1082.6
47,3,5,60.5,32391.86,4,1110.61
63,3,3,71.8,20596.09,4,1000.09
22,4,1,87.1,10853.89,0,547.26
29,4,2,71.1,29675.91,6,889.29
33,1,3,54.5,17472.18,3,764.68
43,4,3,40.7,13893.66,0,854.18
43,3,1,48.3,14452.79,0,590.47
38,4,5,66.1,29807.31,0,1008.1
56,3,3,55.2,26115.62,0,873.26
53,2,5,67.9,31259.73,2,1024.88
50,5,4,56.7,30352.6,2,1082.11
47,2,4,49.1,21632.53,2,917.0
54,4,3,47.3,24436.21,1,951.91
40,3,3,88.4,20908.5,1,722.32
27,3,3,78.3,23317.38,1,753.98
22,2,3,91.0,17261.96,3,721.62
53,3,3,73.1,28123.87,0,809.44
51,2,5,58.6,33600.97,1,1005.26
48,1,4,84.9,18467.1,2,784.36
27,2,4,64.5,35250.16,0,823.7
36,1,4,68.3,25908.17,3,840.12
49,5,2,64.4,26928.63,1,829.68
18,5,1,20.8,11404.56,1,797.33
22,2,3,89.1,10541.9,1,656.82
62,4,3,72.4,26152.93,2,987.18
21,2,4,69.9,31317.86,2,864.23
33,3,3,64.1,19628.96,0,754.85
41,4,3,67.5,38360.75,2,881.46
33,5,3,56.0,30879.49,0,897.8
19,3,1,74.2,17733.27,0,538.9
45,4,3,45.4,25246.79,4,979.4
49,2,4,67.8,44815.43,1,896.95
44,5,2,73.4,15059.49,1,761.46
37,1,3,62.0,29226.16,1,703.75
41,3,3,70.6,22418.04,0,749.06
29,3,2,50.1,30655.17,0,712.63
52,3,2,50.5,35138.19,2,834.27
50,1,5,68.6,21910.1,3,965.33
50,5,3,75.2,33951.3,1,918.13
60,2,2,36.9,42769.63,2,890.73
54,3,2,72.8,25530.2,1,752.54
29,2,4,56.9,31279.11,3,919.96
20,2,3,62.1,20276.47,1,744.24
18,3,3,44.9,25154.07,2,867.83
50,3,1,52.2,23586.6,3,729.64
57,2,4,79.5,31375.49,3,963.45
27,2,3,65.5,34637.41,0,721.66
60,3,3,59.3,24122.76,1,925.11
61,4,3,63.3,37268.98,0,960.76
46,4,3,72.3,37240.38,3,906.01
30,1,4,71.6,31774.83,2,809.11
29,2,5,63.9,20871.79,1,924.53
48,1,3,81.4,20105.37,1,664.06
63,1,4,79.6,18500.95,2,908.37
19,3,4,71.2,32593.33,3,939.54
52,3,5,65.8,15305.85,1,1020.89
40,2,2,74.9,30414.7,0,598.58
34,2,3,69.7,16351.13,1,720.69
43,1,2,80.9,31588.37,2,602.94
25,4,4,78.5,25137.76,3,960.08
46,5,1,49.7,35669.11,3,819.69
43,1,3,48.7,34131.64,2,777.81
27,2,3,54.5,36480.52,0,754.52
43,4,3,79.6,36686.55,0,794.33
51,5,3,41.4,26149.05,2,1030.03
58,3,4,70.9,15729.66,0,929.71
24,1,3,70.4,16579.82,2,693.21
21,1,4,82.4,8305.21,2,747.66
62,3,2,67.7,16330.67,0,780.6
28,2,3,44.9,25550.59,1,794.85
46,1,3,50.6,20522.77,1,723.35
53,3,1,47.3,23558.92,0,679.81
42,1,3,56.9,28941.72,2,740.47
38,4,4,62.3,22567.48,2,968.65
53,2,3,47.5,16025.37,1,833.25
27,1,4,87.1,24574.13,2,754.66
54,3,3,45.1,17812.08,2,924.74
26,2,1,85.2,22833.71,0,462.98
41,5,2,82.8,35742.22,1,766.81
52,3,3,78.5,22835.96,3,867.26
52,2,2,54.6,39167.66,2,775.14
53,4,1,70.1,36453.09,1,722.39
35,2,3,45.8,20365.56,1,777.25
56,5,3,78.7,16111.01,2,962.54
49,2,3,63.9,24579.57,3,831.48
41,3,4,58.9,34226.62,2,940.82
40,1,3,46.6,21078.47,1,728.2
49,3,3,27.8,32264.72,0,897.66
54,4,4,49.4,34667.52,2,1086.33
29,4,3,81.7,18807.79,1,789.84
30,2,3,59.0,19591.59,1,744.11
40,2,3,62.5,30701.3,1,752.56
42,4,1,74.8,26214.78,1,628.44
52,5,4,92.1,19511.51,1,971.58
58,1,3,84.9,22182.56,1,737.35
47,3,5,50.4,24435.84,1,1033.78
34,2,4,35.9,12481.16,3,948.13
37,4,3,100.0,31125.14,1,760.26
42,1,2,99.0,21170.46,2,537.38
39,2,2,67.8,8000.0,1,609.9
30,4,3,45.9,24809.03,2,913.89
36,1,3,79.4,19067.43,3,706.36
53,3,2,63.4,38510.58,1,788.1
29,3,3,63.3,20316.44,1,789.46
58,2,2,78.4,16218.85,2,728.07
36,2,5,70.0,29063.46,1,921.71
29,3,2,47.2,19716.42,1,734.48
26,2,5,60.1,18764.35,1,937.57
24,3,5,74.9,29076.01,2,992.01
45,4,3,72.7,16676.26,1,806.64
31,4,4,68.9,13341.81,1,912.63
48,2,3,79.0,38807.98,2,779.48
36,1,3,59.6,29635.99,2,738.7
64,2,3,67.7,22886.33,2,909.8
33,2,3,14.4,24972.18,0,832.96
22,3,3,58.3,29046.91,2,851.43
52,3,3,76.5,32786.7,2,863.3
29,1,3,59.1,18952.2,0,663.6
42,1,2,58.0,27929.17,2,652.07
38,2,3,49.4,20946.37,2,804.57
53,3,1,80.1,23488.15,5,745.53
40,2,1,73.2,26285.54,1,529.21
33,3,2,77.4,24946.57,2,692.42
56,2,1,39.1,30884.54,3,771.43
62,4,2,62.6,28896.69,0,856.97
59,4,4,60.8,12934.65,1,1037.95
56,2,1,60.8,14137.41,1,632.24
31,2,4,55.8,22042.27,2,887.59
48,3,2,59.8,39629.0,3,812.07
22,2,4,77.7,18187.27,2,825.36
52,3,3,36.3,23334.22,0,879.05
40,4,3,91.7,20709.23,1,770.42
46,3,3,72.3,20567.64,1,770.51
60,4,3,64.4,26425.92,1,964.12
28,2,3,78.6,36206.22,1,724.02
35,2,2,43.2,28647.75,1,705.55
64,4,5,55.0,18571.75,1,1196.96
29,2,3,63.2,47025.84,1,773.85
26,3,3,85.5,25628.59,0,707.07
27,2,4,64.3,20382.23,2,862.81
61,1,3,71.8,36296.77,1,816.28
34,5,4,56.2,21247.44,1,1001.17
55,2,3,72.3,38303.31,2,847.22
24,5,4,90.2,18034.86,2,944.23
63,5,2,79.9,36440.24,1,914.87
30,4,4,63.8,26608.38,0,913.22
57,3,4,75.1,35328.42,2,997.97
59,3,2,73.7,40214.13,0,781.21
26,4,2,72.6,15939.14,2,742.44
44,2,3,81.7,35206.17,0,681.93
19,3,5,81.6,13728.77,1,926.48
22,3,2,63.1,16622.53,2,717.0
46,3,3,74.6,18572.72,2,793.2
54,3,1,59.3,29029.09,1,695.14
55,2,3,51.2,25264.13,0,820.57
36,3,3,61.0,23662.91,1,790.52
25,4,5,63.9,26169.88,0,1008.09
62,2,3,40.1,29730.32,5,1062.9
18,5,4,77.9,30345.98,0,933.35
39,3,3,23.5,33753.33,1,907.04
34,4,1,100.0,39560.28,1,580.85
24,3,3,87.5,24829.1,0,705.25
42,4,3,61.1,20831.29,2,872.3
62,1,5,65.1,29908.29,0,989.78
21,4,4,69.5,15845.96,1,906.75
53,1,2,56.2,19570.37,1,667.75
23,4,2,67.9,32995.05,3,810.98
48,5,2,62.8,24006.97,1,820.1
36,2,5,63.6,15334.46,2,948.93
61,2,4,67.7,13081.58,4,1027.77
56,4,4,45.3,25389.73,2,1100.02
44,2,3,65.6,34135.17,2,777.65
27,4,3,67.5,34028.37,2,885.01
43,1,3,66.9,25887.04,1,686.35
36,1,2,61.8,41071.28,0,602.67
56,5,3,82.1,24161.44,1,937.57
20,3,1,59.7,23891.46,0,580.64
62,4,2,68.4,8000.0,0,817.52
30,2,4,84.5,21421.1,2,811.44
45,3,4,63.8,31816.12,2,933.73
37,3,3,68.2,37511.69,1,803.21
45,3,3,63.6,18358.12,0,751.23
25,3,3,83.6,28698.02,1,750.2
58,3,4,61.1,33375.03,1,1013.64
56,3,4,84.3,25089.67,0,891.48
18,2,4,63.4,8000.0,2,844.87
20,4,4,52.1,26978.32,2,1004.23
30,2,2,75.2,31091.44,4,716.09
45,3,3,60.4,17420.62,0,757.9
42,2,3,74.3,22966.76,0,687.16
50,3,3,24.1,15756.03,3,977.42
55,4,4,65.1,8000.0,0,956.36
23,2,3,58.1,33216.04,2,802.21
61,1,2,49.1,24970.01,0,734.56
62,1,3,56.7,37781.4,1,866.2
49,3,5,56.4,31858.58,3,1107.18
62,4,2,64.3,22166.32,1,882.14
64,1,3,44.5,24334.55,2,922.03
